ID,RA,DEC,FREQ,SN,SigmaSN,SigmaSp,P,PE1,PE2,PSim,PSimE1,PSimE2,PPesimistic,PPesimisticE1,PPesimisticE2,PSimPesimistic,PSimPesimisticE1,PSimPesimisticE2
Survey_EL.779,10:00:54.223,+02:34:44.308,343.499,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.780,10:00:54.251,+02:34:44.377,344.047,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.781,10:00:53.981,+02:34:26.251,342.403,3.9,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.782,10:00:54.844,+02:34:42.667,343.396,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.783,10:00:53.986,+02:34:33.091,343.784,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.784,10:00:55.123,+02:34:26.456,342.769,3.9,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.785,10:00:54.867,+02:34:24.404,342.129,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.786,10:00:55.264,+02:34:31.381,344.309,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.787,10:00:54.744,+02:34:38.152,343.807,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.788,10:00:55.259,+02:34:31.723,342.803,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.789,10:00:53.753,+02:34:31.791,342.574,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
