#ID RA DEC FREQ SN SigmaSN SigmaSp P PE1 PE2 PSim PSimE1 PSimE2 PPesimistic PPesimisticE1 PPesimisticE2 PSimPesimistic PSimPesimisticE1 PSimPesimisticE2
Survey_EL.139 10:00:54.452 +02:34:47.523 342.403 4.4 1 0 0.46 0.27 0.32 0.00 0.00 0.00 1.00 0.84 0.00 0.00 0.00 0.00
Survey_EL.140 10:00:53.886 +02:34:41.778 341.41 4.4 4 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.141 10:00:54.954 +02:34:35.690 342.449 4.4 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.142 10:00:54.712 +02:34:44.582 341.776 4.4 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.143 10:00:54.223 +02:34:31.449 343.853 4.4 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.144 10:00:54.762 +02:34:38.494 341.855 4.4 0 0 1.00 0.47 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.145 10:00:54.315 +02:34:40.204 344.732 4.4 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.146 10:00:54.575 +02:34:36.306 344.755 4.4 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.147 10:00:54.420 +02:34:46.224 344.606 4.4 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.148 10:00:54.479 +02:34:30.081 344.446 4.4 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.149 10:00:55.182 +02:34:31.381 343.453 4.4 1 0 0.29 0.17 0.26 0.00 0.00 0.00 0.89 0.53 0.11 0.00 0.00 0.00
Survey_EL.150 10:00:54.561 +02:34:36.032 342.472 4.4 0 0 1.00 0.47 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.151 10:00:54.744 +02:34:23.241 343.864 4.4 0 0 1.00 0.47 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
